1|4|6|8|12|19|24|30|34|28|32|33|39
11|2|7|9|14|22|37|44|53|55|58|59|60
18|20|3|13|15|25|43|61|66|69|71|72|75
27|31|35|5|16|26|41|64|79|82|86|87|89
42|45|49|47|10|23|38|57|74|93|95|96|98
76|81|83|80|73|17|40|54|68|88|106|107|111
91|112|115|108|100|99|21|48|62|78|94|116|118
102|122|131|129|124|119|114|29|56|67|85|103|120
113|125|137|147|140|134|126|121|36|63|70|90|110
101|128|141|149|157|150|139|130|123|46|65|77|92
104|132|143|152|158|164|156|145|136|127|50|84|97
109|133|144|153|160|165|167|161|148|138|142|51|105
117|135|146|155|162|166|168|169|163|151|154|159|52
